t,interval,price_yuan_per_kWh,load_kW,pv_kW,net_load_kW,buy_kW,buy_kWh,ch_kW,ch_kWh,dis_kW,dis_kWh,curtail_kW,E_end_kWh
125,20:40-20:50,1.2226,4295.2135,0.0000,4295.2135,4295.2135,715.868917,0.0000,0.000000,-0.0000,-0.000000,0.0000,1200.0000
126,20:50-21:00,0.9332,4302.0307,0.0000,4302.0307,4302.0307,717.005117,0.0000,0.000000,0.0000,0.000000,0.0000,1200.0000
127,21:00-21:10,0.9068,4320.9618,0.0000,4320.9618,4320.9618,720.160300,0.0000,0.000000,0.0000,0.000000,0.0000,1200.0000
128,21:10-21:20,0.9371,4302.3292,0.0000,4302.3292,4302.3292,717.054867,0.0000,0.000000,0.0000,0.000000,0.0000,1200.0000
129,21:20-21:30,0.9371,4322.6758,0.0000,4322.6758,4322.6758,720.445967,0.0000,0.000000,0.0000,0.000000,0.0000,1200.0000
130,21:30-21:40,0.9871,4428.8083,0.0000,4428.8083,4428.8083,738.134717,0.0000,0.000000,-0.0000,-0.000000,0.0000,1200.0000
131,21:40-21:50,0.7764,4030.1614,0.0000,4030.1614,4030.1614,671.693567,-0.0000,-0.000000,0.0000,0.000000,0.0000,1200.0000
132,21:50-22:00,0.4209,3362.7419,0.0000,3362.7419,8362.7419,1393.790317,5000.0000,833.333333,0.0000,0.000000,0.0000,1950.0000
133,22:00-22:10,0.3859,3309.3934,0.0000,3309.3934,8309.3934,1384.898900,5000.0000,833.333333,0.0000,0.000000,0.0000,2700.0000
134,22:10-22:20,0.4368,3412.9563,0.0000,3412.9563,3412.9563,568.826050,0.0000,0.000000,0.0000,0.000000,0.0000,2700.0000
135,22:20-22:30,0.4198,3381.9313,0.0000,3381.9313,8381.9313,1396.988550,5000.0000,833.333333,0.0000,0.000000,0.0000,3450.0000
136,22:30-22:40,0.4186,3386.5592,0.0000,3386.5592,8386.5592,1397.759867,5000.0000,833.333333,0.0000,0.000000,0.0000,4200.0000
137,22:40-22:50,0.4241,3400.4846,0.0000,3400.4846,3400.4846,566.747433,0.0000,0.000000,0.0000,0.000000,0.0000,4200.0000
138,22:50-23:00,0.4237,3399.2426,0.0000,3399.2426,8399.2426,1399.873767,5000.0000,833.333333,0.0000,0.000000,0.0000,4950.0000
139,23:00-23:10,0.4248,3406.9809,0.0000,3406.9809,3406.9809,567.830150,0.0000,0.000000,0.0000,0.000000,0.0000,4950.0000
140,23:10-23:20,0.4240,3416.1518,0.0000,3416.1518,5416.1518,902.691967,2000.0000,333.333333,0.0000,0.000000,0.0000,5250.0000
141,23:20-23:30,0.4220,3421.9811,0.0000,3421.9811,8421.9811,1403.663517,5000.0000,833.333333,0.0000,0.000000,0.0000,6000.0000
142,23:30-23:40,0.4240,3429.6923,0.0000,3429.6923,3429.6923,571.615383,0.0000,0.000000,0.0000,0.000000,0.0000,6000.0000
143,23:40-23:50,0.4271,3439.0610,0.0000,3439.0610,3439.0610,573.176833,0.0000,0.000000,0.0000,0.000000,0.0000,6000.0000
144,23:50-0:00+1,0.4276,3444.7259,0.0000,3444.7259,3444.7259,574.120983,0.0000,0.000000,0.0000,0.000000,0.0000,6000.0000
