t,interval,price_yuan_per_kWh,load_kW,pv_kW,net_load_kW,buy_kW,buy_kWh,ch_kW,ch_kWh,dis_kW,dis_kWh,curtail_kW,curtail_kWh,E_end_kWh
37,6:00-6:10,0.9368,4454.0123,521.2803,3932.7320,0.000000,0.000000,0.000000,0.000000,3932.732000,655.455333,0.000000,0.000000,9329.212000
38,6:10-6:20,0.8758,4371.7919,672.7677,3699.0242,0.000000,0.000000,0.000000,0.000000,3699.024200,616.504033,0.000000,0.000000,8644.207500
39,6:20-6:30,0.8759,4392.9530,844.2261,3548.7269,0.000000,0.000000,0.000000,0.000000,3548.726900,591.454483,0.000000,0.000000,7987.035900
40,6:30-6:40,0.8601,4384.5956,1039.6744,3344.9212,0.000000,0.000000,0.000000,0.000000,3344.921200,557.486867,0.000000,0.000000,7367.606000
41,6:40-6:50,0.8442,4434.7757,1259.3375,3175.4382,0.000000,0.000000,0.000000,0.000000,3175.438200,529.239700,0.000000,0.000000,6779.561900
42,6:50-7:00,0.8334,4523.4561,1508.6318,3014.8243,0.000000,0.000000,0.000000,0.000000,3014.824300,502.470717,0.000000,0.000000,6221.261100
43,7:00-7:10,0.8092,4524.0721,1791.4107,2732.6614,0.000000,0.000000,0.000000,0.000000,2732.661400,455.443567,0.000000,0.000000,5715.212700
44,7:10-7:20,0.7972,4545.8867,2085.4865,2460.4002,0.000000,0.000000,0.000000,0.000000,2460.400200,410.066700,0.000000,0.000000,5259.583000
45,7:20-7:30,0.7644,4523.2418,2381.2611,2141.9807,0.000000,0.000000,0.000000,0.000000,2141.980700,356.996783,0.000000,0.000000,4862.919900
46,7:30-7:40,0.6899,4383.3566,2683.1752,1700.1814,0.000000,0.000000,0.000000,0.000000,1700.181400,283.363567,0.000000,0.000000,4548.071500
47,7:40-7:50,0.8600,4910.4599,2986.3552,1924.1047,0.000000,0.000000,0.000000,0.000000,1924.104700,320.684117,0.000000,0.000000,4191.755800
48,7:50-8:00,1.1617,5799.7327,3289.2040,2510.5287,0.000000,0.000000,0.000000,0.000000,2510.528700,418.421450,0.000000,0.000000,3726.843100
49,8:00-8:10,1.1683,5884.8260,3593.3613,2291.4647,0.000000,0.000000,0.000000,0.000000,2291.464700,381.910783,0.000000,0.000000,3302.497800
50,8:10-8:20,1.0956,5748.0713,3890.7332,1857.3381,0.000000,0.000000,0.000000,0.000000,1857.338100,309.556350,0.000000,0.000000,2958.546300
51,8:20-8:30,1.0849,5769.0581,4181.3417,1587.7164,0.000000,0.000000,0.000000,0.000000,1587.716400,264.619400,0.000000,0.000000,2664.524700
52,8:30-8:40,1.0610,5754.2105,4471.7657,1282.4448,0.000000,0.000000,0.000000,0.000000,1282.444800,213.740800,0.000000,0.000000,2427.035000
53,8:40-8:50,1.0430,5824.1807,4752.8272,1071.3535,0.000000,0.000000,0.000000,0.000000,1071.353500,178.558917,0.000000,0.000000,2228.636200
54,8:50-9:00,1.0360,5954.2601,5021.9074,932.3527,0.000000,0.000000,0.000000,0.000000,932.352700,155.392117,0.000000,0.000000,2055.978300
55,9:00-9:10,1.0147,5958.9696,5285.4126,673.5570,0.000000,0.000000,0.000000,0.000000,673.557000,112.259500,0.000000,0.000000,1931.245500
56,9:10-9:20,0.9922,5929.5554,5543.1742,386.3812,0.000000,0.000000,0.000000,0.000000,386.381200,64.396867,0.000000,0.000000,1859.693400
57,9:20-9:30,0.9700,5923.7828,5788.4093,135.3735,0.000000,0.000000,0.000000,0.000000,135.373500,22.562250,0.000000,0.000000,1834.624200
58,9:30-9:40,0.9422,5907.5860,6012.1304,-104.5444,0.000000,0.000000,104.544400,17.424067,0.000000,0.000000,0.000000,0.000000,1850.305900
59,9:40-9:50,0.9569,5899.1262,6216.1528,-317.0266,0.000000,0.000000,317.026600,52.837767,0.000000,0.000000,0.000000,0.000000,1897.859900
60,9:50-10:00,0.9977,5902.2196,6409.5941,-507.3745,0.000000,0.000000,507.374500,84.562417,0.000000,0.000000,0.000000,0.000000,1973.966100
61,10:00-10:10,0.9919,5897.4793,6599.3808,-701.9015,0.000000,0.000000,701.901500,116.983583,0.000000,0.000000,0.000000,0.000000,2079.251300
62,10:10-10:20,0.9588,5886.7568,6766.7204,-879.9636,0.000000,0.000000,879.963600,146.660600,0.000000,0.000000,0.000000,0.000000,2211.245800
63,10:20-10:30,0.9549,5873.4708,6914.5923,-1041.1215,0.000000,0.000000,1041.121500,173.520250,0.000000,0.000000,0.000000,0.000000,2367.414100
64,10:30-10:40,0.9839,5858.0308,7064.2053,-1206.1745,0.000000,0.000000,1206.174500,201.029083,0.000000,0.000000,0.000000,0.000000,2548.340200
65,10:40-10:50,0.7990,5844.9948,7197.4315,-1352.4367,0.000000,0.000000,1352.436700,225.406117,0.000000,0.000000,0.000000,0.000000,2751.205700
66,10:50-11:00,0.5025,5839.0587,7303.1142,-1464.0555,0.000000,0.000000,1464.055500,244.009250,0.000000,0.000000,0.000000,0.000000,2970.814100
67,11:00-11:10,0.4662,5838.7103,7387.6848,-1548.9745,3451.025500,575.170917,5000.000000,833.333333,0.000000,0.000000,0.000000,0.000000,3720.814100
68,11:10-11:20,0.5007,5823.4378,7459.2270,-1635.7892,0.000000,0.000000,1635.789200,272.631533,0.000000,0.000000,0.000000,0.000000,3966.182400
69,11:20-11:30,0.4827,5814.7932,7520.7191,-1705.9259,0.000000,0.000000,1705.925900,284.320983,0.000000,0.000000,0.000000,0.000000,4222.071300
70,11:30-11:40,0.4785,5832.3951,7568.2039,-1735.8088,1075.663000,179.277167,2811.471800,468.578633,0.000000,0.000000,0.000000,0.000000,4643.792100
71,11:40-11:50,0.4662,5712.9010,7592.1539,-1879.2529,3120.747100,520.124517,5000.000000,833.333333,0.000000,0.000000,0.000000,0.000000,5393.792100
72,11:50-12:00,0.4432,5519.4607,7601.0433,-2081.5826,2918.417400,486.402900,5000.000000,833.333333,0.000000,0.000000,0.000000,0.000000,6143.792100
73,12:00-12:10,0.4411,5494.7907,7612.3160,-2117.5253,2882.474700,480.412450,5000.000000,833.333333,0.000000,0.000000,0.000000,0.000000,6893.792100
74,12:10-12:20,0.4551,5514.4524,7602.6524,-2088.2000,2911.800000,485.300000,5000.000000,833.333333,0.000000,0.000000,0.000000,0.000000,7643.792100
75,12:20-12:30,0.4463,5485.8290,7554.1872,-2068.3582,2931.641800,488.606967,5000.000000,833.333333,0.000000,0.000000,0.000000,0.000000,8393.792100
76,12:30-12:40,0.4113,5462.3628,7472.7384,-2010.3756,2989.624400,498.270733,5000.000000,833.333333,0.000000,0.000000,0.000000,0.000000,9143.792100
77,12:40-12:50,0.5682,5566.1066,7393.4172,-1827.3106,0.000000,0.000000,1827.310600,304.551767,0.000000,0.000000,0.000000,0.000000,9417.888700
78,12:50-13:00,0.8279,5725.7548,7312.7979,-1587.0431,0.000000,0.000000,1587.043100,264.507183,0.000000,0.000000,0.000000,0.000000,9655.945200
79,13:00-13:10,0.8636,5739.4957,7194.5410,-1455.0453,0.000000,0.000000,1455.045300,242.507550,0.000000,0.000000,0.000000,0.000000,9874.201900
80,13:10-13:20,0.8416,5714.6836,7053.1371,-1338.4535,0.000000,0.000000,1338.453500,223.075583,0.000000,0.000000,0.000000,0.000000,10074.970000
81,13:20-13:30,0.8618,5717.8505,6910.4064,-1192.5559,0.000000,0.000000,1192.555900,198.759317,0.000000,0.000000,0.000000,0.000000,10253.853000
82,13:30-13:40,0.8623,5708.2486,6772.4075,-1064.1589,0.000000,0.000000,1064.158900,177.359817,0.000000,0.000000,0.000000,0.000000,10413.477000
83,13:40-13:50,0.9026,5696.9182,6607.3600,-910.4418,0.000000,0.000000,910.441800,151.740300,0.000000,0.000000,0.000000,0.000000,10550.043000
84,13:50-14:00,0.9754,5692.2983,6412.5085,-720.2102,0.000000,0.000000,720.210200,120.035033,0.000000,0.000000,0.000000,0.000000,10658.075000
85,14:00-14:10,1.0002,5687.1291,6214.0158,-526.8867,0.000000,0.000000,526.886700,87.814450,0.000000,0.000000,0.000000,0.000000,10737.108000
86,14:10-14:20,0.9978,5678.9620,6000.7112,-321.7492,0.000000,0.000000,321.749200,53.624867,0.000000,0.000000,0.000000,0.000000,10785.370000
87,14:20-14:30,1.0271,5669.4508,5766.9816,-97.5308,0.000000,0.000000,97.530800,16.255133,0.000000,0.000000,0.000000,0.000000,10800.000000
88,14:30-14:40,1.0906,5664.1948,5521.5066,142.6882,0.000000,0.000000,0.000000,0.000000,142.688200,23.781367,0.000000,0.000000,10773.576000
89,14:40-14:50,0.9376,5672.7011,5268.7810,403.9201,0.000000,0.000000,0.000000,0.000000,403.920100,67.320017,0.000000,0.000000,10698.776000
90,14:50-15:00,0.6694,5682.2544,5009.7152,672.5392,672.539200,112.089867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10698.776000
91,15:00-15:10,0.6600,5669.0195,4743.4484,925.5711,1600.396200,266.732700,674.825060,112.470843,0.000000,0.000000,0.000000,0.000000,10800.000000
92,15:10-15:20,0.7217,5656.3651,4471.2240,1185.1411,1185.141100,197.523517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10800.000000
93,15:20-15:30,0.7308,5657.0867,4188.2025,1468.8842,1468.884200,244.814033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10800.000000
94,15:30-15:40,0.7534,5662.6008,3889.3931,1773.2077,1773.207700,295.534617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10800.000000
95,15:40-15:50,0.7823,5669.2596,3594.5946,2074.6650,2074.665000,345.777500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10800.000000
96,15:50-16:00,0.8055,5673.4767,3303.8878,2369.5889,2369.588900,394.931483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10800.000000
97,16:00-16:10,0.8271,5671.0146,2998.4247,2672.5899,2672.589900,445.431650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10800.000000
98,16:10-16:20,0.8519,5661.5926,2687.4131,2974.1795,2974.179500,495.696583,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10800.000000
99,16:20-16:30,0.8791,5665.8922,2383.1779,3282.7143,3282.714300,547.119050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10800.000000
100,16:30-16:40,0.9024,5689.0372,2089.1246,3599.9126,3599.912600,599.985433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10800.000000
101,16:40-16:50,0.9163,5603.6614,1791.0829,3812.5785,3812.578500,635.429750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10800.000000
102,16:50-17:00,0.9264,5466.7124,1501.7283,3964.9841,3964.984100,660.830683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10800.000000
103,17:00-17:10,0.9462,5467.3939,1255.1723,4212.2216,4212.221600,702.036933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10800.000000
104,17:10-17:20,0.9742,5464.7270,1036.3323,4428.3947,4428.394700,738.065783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10800.000000
105,17:20-17:30,0.9862,5492.4458,836.7775,4655.6683,4655.668300,775.944717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10800.000000
106,17:30-17:40,0.9760,5621.7308,665.2313,4956.4995,4956.499500,826.083250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10800.000000
107,17:40-17:50,1.0742,5091.2126,516.6758,4574.5368,4574.536800,762.422800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10800.000000
108,17:50-18:00,1.2313,4208.5688,386.6731,3821.8957,3821.895700,636.982617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10800.000000
109,18:00-18:10,1.2561,4122.7611,275.7933,3846.9678,3191.364300,531.894050,0.000000,0.000000,655.603500,109.267250,0.000000,0.000000,10678.592000
110,18:10-18:20,1.2447,4255.9358,182.9526,4072.9832,4072.983200,678.830533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10678.592000
111,18:20-18:30,1.2545,4225.9524,108.3414,4117.6110,4117.611000,686.268500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10678.592000
112,18:30-18:40,1.2522,4233.3384,54.3121,4179.0263,4179.026300,696.504383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10678.592000
113,18:40-18:50,1.2881,4246.4625,18.6569,4227.8056,0.000000,0.000000,0.000000,0.000000,4227.805600,704.634267,0.000000,0.000000,9895.665000
114,18:50-19:00,1.3466,4239.1795,0.2753,4238.9042,0.000000,0.000000,0.000000,0.000000,4238.904200,706.484033,0.000000,0.000000,9110.682700
115,19:00-19:10,1.3523,4244.6684,0.2296,4244.4388,0.000000,0.000000,0.000000,0.000000,4244.438800,707.406467,0.000000,0.000000,8324.675500
116,19:10-19:20,1.3445,4251.9187,0.6007,4251.3180,0.000000,0.000000,0.000000,0.000000,4251.318000,708.553000,0.000000,0.000000,7537.394400
117,19:20-19:30,1.3483,4256.6813,0.0000,4256.6813,0.000000,0.000000,0.000000,0.000000,4256.681300,709.446883,0.000000,0.000000,6749.120100
118,19:30-19:40,1.3490,4267.3947,0.0000,4267.3947,0.000000,0.000000,0.000000,0.000000,4267.394700,711.232450,0.000000,0.000000,5958.861800
119,19:40-19:50,1.3473,4269.9750,0.0000,4269.9750,0.000000,0.000000,0.000000,0.000000,4269.975000,711.662500,0.000000,0.000000,5168.125700
120,19:50-20:00,1.3482,4268.6702,0.0000,4268.6702,0.000000,0.000000,0.000000,0.000000,4268.670200,711.445033,0.000000,0.000000,4377.631200
121,20:00-20:10,1.3513,4282.2245,0.0000,4282.2245,0.000000,0.000000,0.000000,0.000000,4282.224500,713.704083,0.000000,0.000000,3584.626700
122,20:10-20:20,1.3400,4291.7049,0.0000,4291.7049,0.000000,0.000000,0.000000,0.000000,4291.704900,715.284150,0.000000,0.000000,2789.866500
123,20:20-20:30,1.3489,4291.3611,0.0000,4291.3611,0.000000,0.000000,0.000000,0.000000,4291.361100,715.226850,0.000000,0.000000,1995.170000
124,20:30-20:40,1.3952,4293.9182,0.0000,4293.9182,0.000000,0.000000,0.000000,0.000000,4293.918200,715.653033,0.000000,0.000000,1200.000000
125,20:40-20:50,1.2226,4295.2135,0.0000,4295.2135,4295.213500,715.868917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1200.000000
126,20:50-21:00,0.9332,4302.0307,0.0000,4302.0307,4302.030700,717.005117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1200.000000
127,21:00-21:10,0.9068,4320.9618,0.0000,4320.9618,4320.961800,720.160300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1200.000000
128,21:10-21:20,0.9371,4302.3292,0.0000,4302.3292,4302.329200,717.054867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1200.000000
129,21:20-21:30,0.9371,4322.6758,0.0000,4322.6758,4322.675800,720.445967,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1200.000000
130,21:30-21:40,0.9871,4428.8083,0.0000,4428.8083,4428.808300,738.134717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1200.000000
131,21:40-21:50,0.7764,4030.1614,0.0000,4030.1614,4030.161400,671.693567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1200.000000
132,21:50-22:00,0.4209,3362.7419,0.0000,3362.7419,8362.741900,1393.790317,5000.000000,833.333333,0.000000,0.000000,0.000000,0.000000,1950.000000
133,22:00-22:10,0.3859,3309.3934,0.0000,3309.3934,8309.393400,1384.898900,5000.000000,833.333333,0.000000,0.000000,0.000000,0.000000,2700.000000
134,22:10-22:20,0.4368,3412.9563,0.0000,3412.9563,3412.956300,568.826050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2700.000000
135,22:20-22:30,0.4198,3381.9313,0.0000,3381.9313,8381.931300,1396.988550,5000.000000,833.333333,0.000000,0.000000,0.000000,0.000000,3450.000000
136,22:30-22:40,0.4186,3386.5592,0.0000,3386.5592,8386.559200,1397.759867,5000.000000,833.333333,0.000000,0.000000,0.000000,0.000000,4200.000000
137,22:40-22:50,0.4241,3400.4846,0.0000,3400.4846,3400.484600,566.747433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4200.000000
138,22:50-23:00,0.4237,3399.2426,0.0000,3399.2426,8399.242600,1399.873767,5000.000000,833.333333,0.000000,0.000000,0.000000,0.000000,4950.000000
139,23:00-23:10,0.4248,3406.9809,0.0000,3406.9809,3406.980900,567.830150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4950.000000
140,23:10-23:20,0.4240,3416.1518,0.0000,3416.1518,3416.151800,569.358633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4950.000000
141,23:20-23:30,0.4220,3421.9811,0.0000,3421.9811,8421.981100,1403.663517,5000.000000,833.333333,0.000000,0.000000,0.000000,0.000000,5700.000000
142,23:30-23:40,0.4240,3429.6923,0.0000,3429.6923,5429.692300,904.948717,2000.000000,333.333333,0.000000,0.000000,0.000000,0.000000,6000.000000
143,23:40-23:50,0.4271,3439.0610,0.0000,3439.0610,3439.061000,573.176833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6000.000000
144,23:50-0:00+1,0.4276,3444.7259,0.0000,3444.7259,3444.725900,574.120983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6000.000000
